中国政府活動報告、「安定」33回　「改革開放」は最少 - 日本経済新聞	<情報公開>,<市場動向>	<経済>
文化庁、京都へ　掲げた「全面移転」　実態は職員3割が東京残留（毎日新聞）	<目標>,<方針>,<設備投資>	<経済>
水素保安戦略について、中間とりまとめを行いました （METI/経済産業省）	<戦略>,<コラム>	<経済コラム>
令和4年度大阪府教育庁スクール・エンパワーメント推進事業」スマートスクール実現モデル校の実践について - 岸和田市公式ウェブサイト	<経済>,<コラム>	<経済コラム>
「Ｇ7」ならぬ「Ｕ7」サミットって何？　気候変動や災害支援で各国政府に要望（京都新聞）	<コラム>,<支援>,<要望>	<経済コラム>
電池工場への投資3割支援　経産省、5年間の継続生産条件 - 日本経済新聞	<支援>,<投資>,<生産活動>,<市場動向>	<経済>
政府、4千億円でビル売却　取引額は過去最大 - 記事詳細｜Infoseekニュース	<政府・宣言>,<譲渡・買収>,<社会統計>	<政治>
経産省、ＣＯ２回収・貯留の事業化検討　コスト低減課題	<政府・宣言>,<コラム>,<社会問題>	<政治コラム>
なぜ人は簡単に変われないのか？　内省の第一人者に聞く、「価値観のアップデート」が難しい理由	<コラム>,<障害>,<対談>	<社会コラム>
中国は輸出が困難に、「政府が笛吹けど企業は踊らず」の恐れも―中国人実業家も警鐘	<芸能>,<障害>	<社会>
除染土再生利用の実証事業計画 ３団体が環境省に中止申し入れ｜NHK 首都圏のニュース	<戦略>	<経済>
【予告】金融庁のルールメーカー、リクルートで探す金融の最適解 - 日本経済新聞	<市場動向>	<経済>
福島原発処理水、香港政府が専門部会を設置 - NNA ASIA・香港・社会	<組織>,<設備投資>	<経済>
宮崎市　市役所新庁舎について現在の庁舎の場所に建設する方針を決定（MRT宮崎放送）	<設備投資>,<方針>	<経済>
北海道登別市／新庁舎基本設計案策定／工事費５７億円、２４年８月着工 – 日刊建設工業新聞	<設備投資>	<経済>
大林組、国産材活用促進で3省庁と協定	<政府・宣言>,<契約>	<政治>
エネ庁、ＥＶの系統への影響検討／自動車メーカーや電力と作業部会設置 | 電気新聞ウェブサイト	<組織>,<設備投資>	<経済>
出遅れたワクチン　厚労省調査へ	<背景>,<業界情報>,<現象>,<調査>,<目標>	<経済>
土壌分析の結果公表せず　防衛省、消極姿勢際立つ　空自ＰＦＡＳ流出から２年	<障害>	<社会>
＜独自＞こども家庭庁初代長官に元厚労官僚を起用へ	<人事>,<目標>	<経済>
住民帰還意向は過去最高　福島の双葉・浪江で復興庁調査 - 日本経済新聞	<調査>,<市場動向>	<経済>
「セキュリティークリアランス」制度創設へ 政府の有識者会議 | NHK	<設立>,<目標>,<会議>	<経済>
歴史や技術的な価値を評価…「名古屋テレビ塔」国の重要文化財に指定 文化庁から運営会社に指定書交付（東海テレビ）	<業界情報>,<投資>	<経済>
この2年間、国内死者数が増加している大きな謎 原因はコロナ感染か…厚労省は本気で究明せず（日刊ゲンダイDIGITAL）	<社会統計>,<現象>,<障害>,<社会事件>,<社会問題>,<コラム>	<社会コラム>
