【指導者タイプ】の人に嫌がられる3つの「地雷行動」とは？（NET ViVi）	<コラム>
海の“脱・排ガス”加速！ 見た目もスゴイ「動力革命」な船が続々 2022年登場の新造船5選	<方針>,<紹介>
東大、接着剤無しで亜鉛めっき鋼とプラスチックを強固に接合する技術を開発 (1)	<技術開発>
Meta Quest 2のグラフィック処理がよりパワフルに！ GPU周波数を引き上げるアップデートを実施（GetNavi web）	<技術開発>
メルセデスベンツのエントリーEV『EQA』が大幅改良？ 新LEDテールライトをチラ見せ | レスポンス（Response.jp）	
ビジネス展示会「Meet XR」ブース紹介：第3回～ハードウェア企業さらに続々	<イベント>,<紹介>
フラットパネルディスプレイ用露光装置の概要	
バイオジェット燃料開発に補助金：環境省 | 支援 | J-Net21[中小企業ビジネス支援サイト]	<支援>
オーストラリア連邦西オーストラリア州政府と石油・天然ガス、水素・アンモニア、CCS／CCUSに関する協力覚書を締結	<契約>,<受注>
組み込みエンジニアは何故やめとけと言われるのか？実はおすすめな理由と将来性を解説	<コラム>,<説明>
医療と生活の未来予想図：先端科学から生まれる「根本治療」がもたらす、ウェルビーイングな社会像 (WIRED.jp)	<コラム>
特許検索・特許分析サービスにおいてＡＩ（人工知能）技術を用いた、「ＡＩ特許分類機能」が新たに利用できるようになりました	<利用・採用>
疾患発症原因解明に寄与する因子発見	<技術開発>
健康目的で筋トレするとしたら　何処から鍛えたら良い？	<コラム>
電動工具ブランド「HiKOKI(ハイコーキ)」マルチボルトシリーズ5製品の限定色モデルを数量限定で発売　人気カラーの“フレアレッド”が登場　～2022年1月17日(月)より順次...	<商品化>
健康経営をサポートするAIとバイオ技術を融合したNEC「フォーネスビジュアス」 CEATEC2022	
ボルボ新型「C40リチャージ」、ボルボ初のBEVはさすがの完成度【試乗記】	
ＥＶなどのバッテリー工場、国内新設コストが中国・北米の２倍以上…政府が追加支援策検討 : 経済 : ニュース	
プロが認めた3980円の加湿器がコレ！ 鉄板コスパ家電ランキング「空調編」6～10位	<業界情報>
再生可能エネルギー（再エネ）導入促進のための環境省オンラインセミナー参加者募集	
結晶技術で世界の水を安全・安心に：時事ドットコム	
簡単なスケッチを起点に、ものづくりに革新を起こす	
免疫情報学（Immunoinformatics）の市場規模推移と主要プレイヤー、世界動向、産業シェア、2022-2031年予測	<予測>
Gartnerが「先進テクノロジのハイプ・サイクル：2022年」発表　～クラウド・データ・エコシステム、Web3などが「『過度な期待』のピーク期」に初登場 - アイマガジン	<商品化>
Z世代から日本の食業界でイノベーションを目指すイベント、“Culture Z Food in 九州”の募集開始 / 日本農業新聞公式ウェブサイト	
三菱鉛筆のカーボン素材、自動車向けに期待…二次電池展2022	<見解>
メタバース、「自社ビジネスの活用に興味がある」のは10％、課題のトップ3は「導入目的の明確化」「人材育成」「費用対効果の説明」　～PwCが「日本企業1000社調査」の結果発表 - アイマガジン	<説明>,<商品化>,<方針>
JERA・九州電力・中国電力、発電用燃料としての水素・アンモニアの導入へ協業を検討することを定めた覚書を締結	<契約>,<受注>
激しい運動が誘発する脳疲労の仕組みを解明～低酸素血の関与を実証、対処法開発に期待～ | TSUKUBA JOURNAL - 医療・健康	<技術開発>,<見解>
優れたリーダーは「命令」しない快く部下に動いてもらう6つの方法	
書籍「組織を芯からアジャイルにする」が7月21日より発売開始	
5.7GHz帯で高電力ワイヤレス給電 京大発スタートアップが新技術	<技術開発>
テスラ、サイバートラックとセミのために800ボルトのアーキテクチャを検討中	
高炉使わない製鉄法開発へ　日鉄とＪＦＥなど、水素でＣＯ２削減	<技術開発>,<目標>
バイオプラスチックとバイオポリマーの市場規模は2030年に296億9,100万ドルに達すると予測 - 最新予測	<予測>
ジェフ・ベゾス～退任の言葉から	<コラム>
製薬大手イーライリリーやノバルティス、ロシア事業縮小	<方針>
ニコン、27年ぶり「ｉ線」露光装置投入　パワー半導体需要増	<利用・採用>
ボタンピエキスとブラックリバースペプチド１の組み合せによる 白髪改善メカニズムを新たに解明	<研究>,<技術開発>
「受験と実務の“苦手”はぜんぜん違う」「文系・理系は関係ない」　女性エンジニアが少ない現実から考えるアンコンシャス・バイアス	<見解>
薬剤師って必要なの？	
XAION DATA、オープンデータの汎用的構造化技術「WEB VISION」に関する特許を取得	<政府・認可>
【記者のひとこと】コンサル起点のDX戦略で差別化 - BCN＋R	<技術開発>
Z世代とつながる鍵は、インクルージョンと文化的アイデンティティ	
みんなエアー、進和テックと「おいしい空気®︎プロジェクト」本格始動	
北京瀛海（インハイ）とパナソニック コネクト アジアがおかず皿配膳システムをシンガポールの海底撈（ハイディラオ）ノースショアプラザ店に中国国外初の導入 | トピックス | Panasonic Newsroom Japan : パナソニック ニュースルーム ジャパン	<方針>,<利用・採用>
九工大の学生たちが開発した超小型衛星「FUTABA」が運用を開始 (1)	<サービス開始>
知財管理システム「CyberPatent Topam」グローバル対応を大幅強化	<技術開発>,<方針>
本物よりおいしい？ヒマワリの種やエンドウ豆の「お肉」	
仕事が終わらない人の「時間の使い方」3つの共通点とは？	<コラム>
【第一部会：期待の新薬】1製品+1製品（2022年4月28日）	
本業支援にもつながる「売上」に関する課題にはこんなIT支援を行おう【1】	<支援>
大河ドラマ『どうする家康』に沸く岡崎市が協働実験「Urban Innovation OKAZAKI」で取り組む４つの課題を発表、参加するスタートアップ企業を募集	<商品化>,<コラム>
アッヴィ、JAK 阻害剤による治療歴のない骨髄線維症患者さんにおける治験薬Navitoclax の予備的データを発表	<レポート>
業務部門とIT部門の「共創」がDXに向けたシステム内製化のカギ	<コラム>
【8/8月11時】無料オンラインセミナー「インダストリー4.0がもたらす予知保全とは」を開催	
【新商品】【紫外線量によりレンズが変色!!】自転車パーツブランド「GORIX」から、調光スポーツサングラス(GS-TRANS204)が新発売!!	<商品化>
ビジネスにおけるマイクロセグメンテーションの適用効果	<効果>
ファミマ、全国3000店にデジタルサイネージを設置　“店頭メディア”で新たな売上確保へ：紀伊民報AGARA	<組織>,<設備投資>
急性躁病への増強療法、短期間で効果発現｜精神疾患｜臨床医学_薬剤情報｜医療ニュース｜Medical Tribune	
グリーンアルミブランド相次ぎ誕生（1）／ＧＨＧ排出量低減が急務／国内市場、コスト面に課題	<コラム>
東芝、ウルトラファインバブルが繊維の奥の汚れに届くタテ型洗濯機	
月経血幹細胞の再生医療への応用に関する当社の取り組みについて	<コラム>,<説明>
eスポーツの頂点に立つ、LoLグローバル責任者の素顔：「真の実力者であり、eスポーツの開拓者」	
2022年上期の販売はN-BOXが10万台超でトップ、前期比2桁減の人気モデルも目立つ：製造マネジメントニュース	<コラム>
若者の価値観受け入れて　先読み！とうほく経済ーー佐藤律子	
【ECサイトに直感的なUXを実現】サイト、Instagram、Youtubeのコンテンツを集約し、AIがお客様の関心を察知・表示する新機能「アタッチメント」をリリース！	<技術開発>,<サービス開始>
中外製薬・奥田社長CEO　22年第2四半期業績「想定通り大幅な増収増益」　ロシュ向け輸出が大幅伸長 | ニュース | ミクスOnline	<業績>
衝撃の真実：女性は生理で5カ月分の睡眠を失う?!	<コラム>
衝撃に強い振動発電用の金属材料を開発 IoTセンサーへの応用期待 東北大など	<技術開発>,<見解>
